Item Name,Variation Name,SKU,Description,Category,Price,Tax - Sales Tax (IL),Modifier Set 1
Corned Beef Sandwich,Regular,KD-DELI-001,Hand-sliced corned beef on rye.,Deli,TBD,Y,Bread Choice
Pastrami Sandwich,Regular,KD-DELI-002,Slow-cooked pastrami on rye.,Deli,TBD,Y,Bread Choice
Vienna Hot Dog,Regular,KD-DOGS-001,Vienna Beef hot dog the way it should be.,Dogs & Polish,TBD,Y,Dog Toppings
Vienna Polish (All-Beef),Regular,KD-DOGS-002,All-beef Polish — no pork on my fork.,Dogs & Polish,TBD,Y,Dog Toppings
Tacos,3-Pack,KD-PLATES-001,House tacos.,Hot Plates,TBD,Y,Taco Protein
Jerk Chicken,Plate,KD-PLATES-002,Slow-marinated jerk chicken.,Hot Plates,TBD,Y,Side Choice
Fries,Regular,KD-SIDES-001,Hand-cut fries.,Sides,TBD,Y,
Soda,Can,KD-DRINKS-001,Assorted sodas.,Drinks,TBD,Y,Drink Choice
Specialty Cake,Whole,KD-BAKERY-001,Made fresh — flavors rotate.,Bakery,TBD,Y,Cake Flavor
Cheesecake,Whole,KD-BAKERY-002,Classic NY-style cheesecake.,Bakery,TBD,Y,
Chicago Lunchroom Butter Cookies,Box of 12,KD-BAKERY-003,The signature Kingdom Deli cookie.,Bakery,TBD,Y,
